,distance,trueTextLength,imageTextLength
amosite,134.0,828,941.0
andabata,7504.0,15044,18432.0
apician,3278.0,1788,5053.0
argentiferous,4541.0,7264,10235.0
arhar,2149.0,15791,16060.0
arroya,1325.0,2451,2545.0
asynergy,4674.0,7813,12382.0
attacca,,821,
attachment,327.0,75,377.0
awe,3619.0,10711,12388.0
azores,,43665,
bain,85.0,85,0.0
balsamina,87.0,87,0.0
barometer,6881.0,24380,21907.0
barrows,99.0,99,0.0
basilidian,4109.0,20186,21515.0
binna,250.0,145,319.0
biochore,859.0,254,1106.0
Bird,,74137,
bodgie,1746.0,6163,7827.0
boldine,551.0,122,628.0
broletti,608.0,608,0.0
brucite,2772.0,2559,4236.0
cahuilla,7521.0,10084,16227.0
casimiroa,860.0,887,1720.0
china,,107519,
chondritic,18310.0,16082,28219.0
cirrhose,,1948,
cochin,,56378,
colchicum,1596.0,3461,2685.0
concretist,56.0,56,0.0
copenhagen,,78661,
corepressor,12049.0,6387,15608.0
criminals,16136.0,28251,34085.0
crinoline,13572.0,23668,36523.0
cuticles,2071.0,4109,5485.0
deferrers,26.0,26,0.0
democratize,,43069,
demolishes,2626.0,8363,8991.0
deputies,1342.0,2160,2389.0
dextrous,141.0,141,0.0
directionality,580.0,78,645.0
disputable,4487.0,6169,9985.0
divining,6313.0,19604,25422.0
donative,1524.0,1716,298.0
duckies,4719.0,14586,17573.0
dulcian,1568.0,3139,3794.0
dynamited,2748.0,11996,13409.0
educationist,,69657,
efficacious,8746.0,5209,12822.0
electrophone,9922.0,30128,35596.0
embedded,121.0,121,0.0
enantiomorphous,2646.0,4593,3405.0
estrangelo,8135.0,11682,10402.0
eudaemonism,14953.0,28434,40847.0
evacuees,32.0,32,0.0
fister,590.0,1601,1027.0
fitweed,2910.0,3381,920.0
flambeed,3021.0,3974,5180.0
floaty,13399.0,16167,21310.0
geikia,3143.0,6570,8520.0
